Ships_IDs,Total_iregular_ships,Risk_score
111206,4,13.333333333333334
112488,4,13.333333333333334
101394,3,10.0
104504,3,10.0
106350,3,10.0
104296,3,10.0
106677,3,10.0
103337,3,10.0
109050,3,10.0
101424,3,10.0
112459,3,10.0
101734,3,10.0
111539,3,10.0
102765,3,10.0
102131,3,10.0
109196,3,10.0
108325,3,10.0
112675,3,10.0
113726,3,10.0
114626,3,10.0
116082,3,10.0
117148,3,10.0
117682,3,10.0
117858,3,10.0
118078,3,10.0
118871,3,10.0
119167,3,10.0
119222,3,10.0
119364,3,10.0
119460,3,10.0
121202,3,10.0
121444,3,10.0
121683,3,10.0
121954,3,10.0
122116,3,10.0
103302,2,6.666666666666667
101227,2,6.666666666666667
107629,2,6.666666666666667
102308,2,6.666666666666667
105006,2,6.666666666666667
102311,2,6.666666666666667
107023,2,6.666666666666667
105019,2,6.666666666666667
111213,2,6.666666666666667
102320,2,6.666666666666667
110555,2,6.666666666666667
100169,2,6.666666666666667
102325,2,6.666666666666667
106389,2,6.666666666666667
102338,2,6.666666666666667
103329,2,6.666666666666667
110863,2,6.666666666666667
100199,2,6.666666666666667
102357,2,6.666666666666667
110960,2,6.666666666666667
107069,2,6.666666666666667
101346,2,6.666666666666667
109705,2,6.666666666666667
111122,2,6.666666666666667
109718,2,6.666666666666667
101382,2,6.666666666666667
103372,2,6.666666666666667
108619,2,6.666666666666667
108239,2,6.666666666666667
110339,2,6.666666666666667
107125,2,6.666666666666667
103400,2,6.666666666666667
101429,2,6.666666666666667
101437,2,6.666666666666667
109075,2,6.666666666666667
109401,2,6.666666666666667
109402,2,6.666666666666667
106474,2,6.666666666666667
105134,2,6.666666666666667
108636,2,6.666666666666667
110578,2,6.666666666666667
101495,2,6.666666666666667
110579,2,6.666666666666667
109730,2,6.666666666666667
106504,2,6.666666666666667
102484,2,6.666666666666667
108661,2,6.666666666666667
109114,2,6.666666666666667
109731,2,6.666666666666667
103485,2,6.666666666666667
108290,2,6.666666666666667
107202,2,6.666666666666667
106540,2,6.666666666666667
108665,2,6.666666666666667
107209,2,6.666666666666667
104401,2,6.666666666666667
100408,2,6.666666666666667
109126,2,6.666666666666667
109997,2,6.666666666666667
110000,2,6.666666666666667
110351,2,6.666666666666667
110191,2,6.666666666666667
109455,2,6.666666666666667
104443,2,6.666666666666667
105242,2,6.666666666666667
105245,2,6.666666666666667
106600,2,6.666666666666667
109469,2,6.666666666666667
108700,2,6.666666666666667
